index,Place Name,Place ID,Place Sequence,Boardings,Alightings,Load,time,day,line,direction,per,level,ppsm,label
1,Bowdoin,B.70038,1,1,0,1,5am-6am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,5-6am
2,Government Center,B.70040,2,10,0.2,10,5am-6am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,5-6am
3,State,B.70042,3,11,0.1,22,5am-6am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,5-6am
4,Aquarium,B.70044,4,1,0.8,24,5am-6am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,5-6am
5,Maverick,B.70046,5,5,8.2,23,5am-6am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,5-6am
6,Airport,B.70048,6,2,3.4,10,5am-6am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,5-6am
7,Wood Island,B.70050,7,0,2.3,8,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
8,Orient Heights,B.70052,8,1,2.5,6,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
9,Suffolk Downs,B.70054,9,0,0.3,4,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
10,Beachmont,B.70056,10,1,2.5,9,5am-6am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,5-6am
11,Revere Beach,B.70058,11,0,3,6,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
12,Wonderland,B.70060,12,0,6.2,0,5am-6am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,5-6am
13,Bowdoin,B.70038,1,1,0,1,6am-7am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,6-7am
14,Government Center,B.70040,2,13,0.2,14,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
15,State,B.70042,3,11,0.2,25,6am-7am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,6-7am
16,Aquarium,B.70044,4,1,1,25,6am-7am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,6-7am
17,Maverick,B.70046,5,4,8.9,21,6am-7am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,6-7am
18,Airport,B.70048,6,3,6.7,17,6am-7am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,6-7am
19,Wood Island,B.70050,7,1,5,13,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
20,Orient Heights,B.70052,8,1,3.4,11,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
21,Suffolk Downs,B.70054,9,0,0.4,10,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
22,Beachmont,B.70056,10,1,2.8,8,6am-7am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,6-7am
23,Revere Beach,B.70058,11,0,3,5,6am-7am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,6-7am
24,Wonderland,B.70060,12,0,5,0,6am-7am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,6-7am
25,Bowdoin,B.70038,1,3,0,3,7am-8am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,7-8am
26,Government Center,B.70040,2,15,0.1,18,7am-8am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,7-8am
27,State,B.70042,3,15,0.5,32,7am-8am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,7-8am
28,Aquarium,B.70044,4,2,3,31,7am-8am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,7-8am
29,Maverick,B.70046,5,5,12.5,23,7am-8am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,7-8am
30,Airport,B.70048,6,4,7.9,20,7am-8am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,7-8am
31,Wood Island,B.70050,7,1,3.6,17,7am-8am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,7-8am
32,Orient Heights,B.70052,8,1,4.4,13,7am-8am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,7-8am
33,Suffolk Downs,B.70054,9,0,0.6,12,7am-8am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,7-8am
34,Beachmont,B.70056,10,2,3.1,12,7am-8am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,7-8am
35,Revere Beach,B.70058,11,0,5.5,7,7am-8am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,7-8am
