index,Place Name,Place ID,Place Sequence,Boardings,Alightings,Load,time,day,line,direction,per,level
1,Bowdoin,B.70038,1,1,0,1,5am-6am,Weekday,Blue Line,Eastbound,0,placeholder
2,Government Center,B.70040,2,10,0.2,10,5am-6am,Weekday,Blue Line,Eastbound,2,placeholder
3,State,B.70042,3,11,0.1,22,5am-6am,Weekday,Blue Line,Eastbound,4,placeholder
4,Aquarium,B.70044,4,1,0.8,24,5am-6am,Weekday,Blue Line,Eastbound,4,placeholder
5,Maverick,B.70046,5,5,8.2,23,5am-6am,Weekday,Blue Line,Eastbound,4,placeholder
6,Airport,B.70048,6,2,3.4,10,5am-6am,Weekday,Blue Line,Eastbound,2,placeholder
7,Wood Island,B.70050,7,0,2.3,8,5am-6am,Weekday,Blue Line,Eastbound,1,placeholder
8,Orient Heights,B.70052,8,1,2.5,6,5am-6am,Weekday,Blue Line,Eastbound,1,placeholder
9,Suffolk Downs,B.70054,9,0,0.3,4,5am-6am,Weekday,Blue Line,Eastbound,1,placeholder
10,Beachmont,B.70056,10,1,2.5,9,5am-6am,Weekday,Blue Line,Eastbound,2,placeholder
11,Revere Beach,B.70058,11,0,3,6,5am-6am,Weekday,Blue Line,Eastbound,1,placeholder
12,Wonderland,B.70060,12,0,6.2,0,5am-6am,Weekday,Blue Line,Eastbound,0,placeholder
13,Bowdoin,B.70038,1,1,0,1,6am-7am,Weekday,Blue Line,Eastbound,0,placeholder
14,Government Center,B.70040,2,13,0.2,14,6am-7am,Weekday,Blue Line,Eastbound,2,placeholder
15,State,B.70042,3,11,0.2,25,6am-7am,Weekday,Blue Line,Eastbound,4,placeholder
16,Aquarium,B.70044,4,1,1,25,6am-7am,Weekday,Blue Line,Eastbound,4,placeholder
17,Maverick,B.70046,5,4,8.9,21,6am-7am,Weekday,Blue Line,Eastbound,4,placeholder
18,Airport,B.70048,6,3,6.7,17,6am-7am,Weekday,Blue Line,Eastbound,3,placeholder
19,Wood Island,B.70050,7,1,5,13,6am-7am,Weekday,Blue Line,Eastbound,2,placeholder
20,Orient Heights,B.70052,8,1,3.4,11,6am-7am,Weekday,Blue Line,Eastbound,2,placeholder
21,Suffolk Downs,B.70054,9,0,0.4,10,6am-7am,Weekday,Blue Line,Eastbound,2,placeholder
22,Beachmont,B.70056,10,1,2.8,8,6am-7am,Weekday,Blue Line,Eastbound,1,placeholder
23,Revere Beach,B.70058,11,0,3,5,6am-7am,Weekday,Blue Line,Eastbound,1,placeholder
24,Wonderland,B.70060,12,0,5,0,6am-7am,Weekday,Blue Line,Eastbound,0,placeholder
25,Bowdoin,B.70038,1,3,0,3,7am-8am,Weekday,Blue Line,Eastbound,0,placeholder
26,Government Center,B.70040,2,15,0.1,18,7am-8am,Weekday,Blue Line,Eastbound,3,placeholder
27,State,B.70042,3,15,0.5,32,7am-8am,Weekday,Blue Line,Eastbound,5,placeholder
28,Aquarium,B.70044,4,2,3,31,7am-8am,Weekday,Blue Line,Eastbound,5,placeholder
29,Maverick,B.70046,5,5,12.5,23,7am-8am,Weekday,Blue Line,Eastbound,4,placeholder
30,Airport,B.70048,6,4,7.9,20,7am-8am,Weekday,Blue Line,Eastbound,3,placeholder
31,Wood Island,B.70050,7,1,3.6,17,7am-8am,Weekday,Blue Line,Eastbound,3,placeholder
32,Orient Heights,B.70052,8,1,4.4,13,7am-8am,Weekday,Blue Line,Eastbound,2,placeholder
33,Suffolk Downs,B.70054,9,0,0.6,12,7am-8am,Weekday,Blue Line,Eastbound,2,placeholder
34,Beachmont,B.70056,10,2,3.1,12,7am-8am,Weekday,Blue Line,Eastbound,2,placeholder
35,Revere Beach,B.70058,11,0,5.5,7,7am-8am,Weekday,Blue Line,Eastbound,1,placeholder
36,Wonderland,B.70060,12,0,7,0,7am-8am,Weekday,Blue Line,Eastbound,0,placeholder
37,Bowdoin,B.70038,1,2,0,2,8am-9am,Weekday,Blue Line,Eastbound,0,placeholder
38,Government Center,B.70040,2,15,0.2,17,8am-9am,Weekday,Blue Line,Eastbound,3,placeholder
39,State,B.70042,3,14,0.9,30,8am-9am,Weekday,Blue Line,Eastbound,5,placeholder
40,Aquarium,B.70044,4,2,3.5,27,8am-9am,Weekday,Blue Line,Eastbound,4,placeholder
41,Maverick,B.70046,5,5,13.4,20,8am-9am,Weekday,Blue Line,Eastbound,3,placeholder
42,Airport,B.70048,6,4,7.2,18,8am-9am,Weekday,Blue Line,Eastbound,3,placeholder
43,Wood Island,B.70050,7,1,2.7,16,8am-9am,Weekday,Blue Line,Eastbound,3,placeholder
44,Orient Heights,B.70052,8,1,5,13,8am-9am,Weekday,Blue Line,Eastbound,2,placeholder
45,Suffolk Downs,B.70054,9,0,0.9,12,8am-9am,Weekday,Blue Line,Eastbound,2,placeholder
46,Beachmont,B.70056,10,1,2.6,10,8am-9am,Weekday,Blue Line,Eastbound,2,placeholder
47,Revere Beach,B.70058,11,0,4.7,5,8am-9am,Weekday,Blue Line,Eastbound,1,placeholder
48,Wonderland,B.70060,12,0,5,0,8am-9am,Weekday,Blue Line,Eastbound,0,placeholder
49,Bowdoin,B.70038,1,2,0,2,9am-10am,Weekday,Blue Line,Eastbound,0,placeholder
50,Government Center,B.70040,2,15,0.3,17,9am-10am,Weekday,Blue Line,Eastbound,3,placeholder
51,State,B.70042,3,13,0.8,30,9am-10am,Weekday,Blue Line,Eastbound,5,placeholder
52,Aquarium,B.70044,4,2,3.2,29,9am-10am,Weekday,Blue Line,Eastbound,5,placeholder
53,Maverick,B.70046,5,5,12.5,21,9am-10am,Weekday,Blue Line,Eastbound,4,placeholder
54,Airport,B.70048,6,3,6.1,20,9am-10am,Weekday,Blue Line,Eastbound,3,placeholder
55,Wood Island,B.70050,7,1,2.2,18,9am-10am,Weekday,Blue Line,Eastbound,3,placeholder
56,Orient Heights,B.70052,8,1,5.1,13,9am-10am,Weekday,Blue Line,Eastbound,2,placeholder
57,Suffolk Downs,B.70054,9,0,0.7,12,9am-10am,Weekday,Blue Line,Eastbound,2,placeholder
58,Beachmont,B.70056,10,1,3,10,9am-10am,Weekday,Blue Line,Eastbound,2,placeholder
59,Revere Beach,B.70058,11,0,4.5,6,9am-10am,Weekday,Blue Line,Eastbound,1,placeholder
60,Wonderland,B.70060,12,0,5.9,0,9am-10am,Weekday,Blue Line,Eastbound,0,placeholder
61,Bowdoin,B.70038,1,4,0,4,10am-11am,Weekday,Blue Line,Eastbound,1,placeholder
62,Government Center,B.70040,2,28,0.2,32,10am-11am,Weekday,Blue Line,Eastbound,5,placeholder
63,State,B.70042,3,24,0.6,54,10am-11am,Weekday,Blue Line,Eastbound,9,placeholder
64,Aquarium,B.70044,4,4,3.7,54,10am-11am,Weekday,Blue Line,Eastbound,9,placeholder
65,Maverick,B.70046,5,7,17.3,43,10am-11am,Weekday,Blue Line,Eastbound,7,placeholder
66,Airport,B.70048,6,6,12.7,38,10am-11am,Weekday,Blue Line,Eastbound,6,placeholder
67,Wood Island,B.70050,7,1,4,34,10am-11am,Weekday,Blue Line,Eastbound,6,placeholder
68,Orient Heights,B.70052,8,1,9.3,27,10am-11am,Weekday,Blue Line,Eastbound,4,placeholder
69,Suffolk Downs,B.70054,9,0,1.6,23,10am-11am,Weekday,Blue Line,Eastbound,4,placeholder
70,Beachmont,B.70056,10,1,6.5,18,10am-11am,Weekday,Blue Line,Eastbound,3,placeholder
71,Revere Beach,B.70058,11,0,8.4,11,10am-11am,Weekday,Blue Line,Eastbound,2,placeholder
72,Wonderland,B.70060,12,0,10.9,0,10am-11am,Weekday,Blue Line,Eastbound,0,placeholder
73,Bowdoin,B.70038,1,6,0,6,11am-12pm,Weekday,Blue Line,Eastbound,1,placeholder
74,Government Center,B.70040,2,42,0.5,48,11am-12pm,Weekday,Blue Line,Eastbound,8,placeholder
75,State,B.70042,3,37,1,85,11am-12pm,Weekday,Blue Line,Eastbound,14,placeholder
76,Aquarium,B.70044,4,6,5.5,81,11am-12pm,Weekday,Blue Line,Eastbound,14,placeholder
77,Maverick,B.70046,5,10,29.4,64,11am-12pm,Weekday,Blue Line,Eastbound,11,placeholder
78,Airport,B.70048,6,7,15,51,11am-12pm,Weekday,Blue Line,Eastbound,8,placeholder
79,Wood Island,B.70050,7,1,5.1,46,11am-12pm,Weekday,Blue Line,Eastbound,8,placeholder
80,Orient Heights,B.70052,8,2,12.6,35,11am-12pm,Weekday,Blue Line,Eastbound,6,placeholder
81,Suffolk Downs,B.70054,9,0,2.5,34,11am-12pm,Weekday,Blue Line,Eastbound,6,placeholder
82,Beachmont,B.70056,10,2,8.8,25,11am-12pm,Weekday,Blue Line,Eastbound,4,placeholder
83,Revere Beach,B.70058,11,0,10.2,14,11am-12pm,Weekday,Blue Line,Eastbound,2,placeholder
84,Wonderland,B.70060,12,0,13.5,0,11am-12pm,Weekday,Blue Line,Eastbound,0,placeholder
85,Bowdoin,B.70038,1,10,0,10,12pm-1pm,Weekday,Blue Line,Eastbound,2,placeholder
86,Government Center,B.70040,2,60,0.8,69,12pm-1pm,Weekday,Blue Line,Eastbound,12,placeholder
87,State,B.70042,3,59,1.7,126,12pm-1pm,Weekday,Blue Line,Eastbound,21,placeholder
88,Aquarium,B.70044,4,10,7,129,12pm-1pm,Weekday,Blue Line,Eastbound,22,placeholder
89,Maverick,B.70046,5,14,44.6,91,12pm-1pm,Weekday,Blue Line,Eastbound,15,placeholder
